year,age_band,transfers_total,transfers_with_fee,pct_with_fee,total_fee_usd_m,avg_fee_usd_m,edition,figure,page
2018,<18,213,,67.1,84.9,0.6,Global Transfer Market Report 2018 - Men,Fig. 30 / Fig. 33 / Fig. 34,36-37
2018,18-23,6749,,17.5,2902.7,2.5,Global Transfer Market Report 2018 - Men,Fig. 30 / Fig. 33 / Fig. 34,36-37
2018,24-29,7085,,14.3,3603.0,3.6,Global Transfer Market Report 2018 - Men,Fig. 30 / Fig. 33 / Fig. 34,36-37
2018,30-35,2381,,6.9,436.4,2.7,Global Transfer Market Report 2018 - Men,Fig. 30 / Fig. 33 / Fig. 34,36-37
2018,>35,105,,0.0,0.0,,Global Transfer Market Report 2018 - Men,Fig. 30 / Fig. 33 / Fig. 34,36-37
2019,<18,230,,36.1,78.9,1.0,Global Transfer Market Report 2019 - Men,Fig. 25 / Fig. 28 / Fig. 30,36-37
2019,18-23,7659,,17.6,3802.8,2.8,Global Transfer Market Report 2019 - Men,Fig. 25 / Fig. 28 / Fig. 30,36-37
2019,24-29,7501,,14.5,3058.3,2.8,Global Transfer Market Report 2019 - Men,Fig. 25 / Fig. 28 / Fig. 30,36-37
2019,30-35,2534,,6.4,403.2,2.5,Global Transfer Market Report 2019 - Men,Fig. 25 / Fig. 28 / Fig. 30,36-37
2019,>35,118,,2.5,2.3,0.8,Global Transfer Market Report 2019 - Men,Fig. 25 / Fig. 28 / Fig. 30,36-37
2020,<18,231,,,105.8,,Global Transfer Market Report 2020,Figure 17 / Figure 18,14
2020,18-23,7369,,,2640.5,,Global Transfer Market Report 2020,Figure 17 / Figure 18,14
2020,24-29,6981,,,2637.2,,Global Transfer Market Report 2020,Figure 17 / Figure 18,14
2020,30-35,2387,,,243.8,,Global Transfer Market Report 2020,Figure 17 / Figure 18,14
2020,>35,109,,,0.4,,Global Transfer Market Report 2020,Figure 17 / Figure 18,14
2021,<18,166,,,45.3,,FIFA Global Transfer Report 2021-2022,Figure 17 / Figure 18,16
2021,18-23,7656,,,2827.8,,FIFA Global Transfer Report 2021-2022,Figure 17 / Figure 18,16
2021,24-29,7388,,,1802.2,,FIFA Global Transfer Report 2021-2022,Figure 17 / Figure 18,16
2021,30-35,2701,,,161.6,,FIFA Global Transfer Report 2021-2022,Figure 17 / Figure 18,16
2021,>35,157,,,27.7,,FIFA Global Transfer Report 2021-2022,Figure 17 / Figure 18,16
2022,<18,,89,,100,,FIFA Global Transfer Report 2022,Figure 11,13
2022,18-23,,1540,,3530,,FIFA Global Transfer Report 2022,Figure 11,13
2022,24-29,,1042,,2460,,FIFA Global Transfer Report 2022,Figure 11,13
2022,>=30,,172,,400,,FIFA Global Transfer Report 2022,Figure 11,13
2023,<18,,108,,100,,FIFA Global Transfer Report 2023,Figure 7,11
2023,18-23,,1726,,4890,,FIFA Global Transfer Report 2023,Figure 7,11
2023,24-29,,1254,,3840,,FIFA Global Transfer Report 2023,Figure 7,11
2023,>=30,,191,,790,,FIFA Global Transfer Report 2023,Figure 7,11
2024,<18,239,,43.9,,0.836,FIFA Global Transfer Report 2024,Figure 12,14
2024,18-23,9922,,20.5,,2.2,FIFA Global Transfer Report 2024,Figure 12,14
2024,24-29,9131,,15.2,,2.6,FIFA Global Transfer Report 2024,Figure 12,14
2024,>=30,3484,,4.8,,2.4,FIFA Global Transfer Report 2024,Figure 12,14
2025,<18,259,,47.9,,0.604,FIFA Global Transfer Report 2025,Figure 12,14
2025,18-23,10612,,22.5,,3.0,FIFA Global Transfer Report 2025,Figure 12,14
2025,24-29,9816,,16.3,,3.3,FIFA Global Transfer Report 2025,Figure 12,14
2025,>=30,3871,,6.3,,2.0,FIFA Global Transfer Report 2025,Figure 12,14
