year,total_fee_usd_bn,transfers_total,pct_with_fee,clubs_paying,clubs_receiving,edition,figure,page
2016,4.71,14636,13.8,,,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2017,6.30,15662,15.0,,,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2018,6.93,16550,14.4,839,1003,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2019,7.33,18081,14.9,938,1088,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2020,5.66,17189,13.2,850,955,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2021,4.87,18137,12.3,838,967,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2022,6.45,20370,14.0,953,1163,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2023,9.66,21818,15.1,1026,1244,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2024,8.59,22794,16.2,1099,1379,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
2025,13.08,24558,17.7,1214,1495,FIFA Global Transfer Report 2025,Figure 1 / Figure 2,7
