comprador,operaciones,gasto_eur
Chelsea,10,687880000.00
Liverpool,6,461900000.00
PSG,8,430420000.00
Real Madrid,6,412000000.00
Man Utd,6,405800000.00
Newcastle,5,320300000.00
Man City,5,310000000.00
Tottenham,4,201250000.00
Arsenal,3,139700000.00
Bayern Munich,2,120000000.00
Aston Villa,2,103850000.00
Leipzig,2,90000000.00
West Ham,2,87000000.00
Nott'm Forest,2,84600000.00
Al-Nassr,1,77000000.00
Brighton,1,46700000.00
Benfica,1,44250000.00
Brentford,1,42800000.00
Leeds,1,40500000.00
Everton,1,40500000.00
Fulham,1,40000000.00
Al-Hilal,1,40000000.00
