temporada,tramo_fifa,operaciones,gasto_eur,pct_gasto,mediana_meur,media_meur
22/23,18-23,609,3782016000.00,50.7,2.0,6.21
22/23,24-29,614,3124030000.00,41.9,1.6,5.09
22/23,<18,7,33530000.00,0.4,1.25,4.79
22/23,>=30,129,520787000.00,7.0,1.3,4.04
23/24,18-23,736,4345818000.00,45.7,1.5,5.9
23/24,24-29,764,4334042000.00,45.6,1.6,5.67
23/24,<18,3,10200000.00,0.1,3.5,3.4
23/24,>=30,148,818231000.00,8.6,1.9,5.53
24/25,18-23,809,4356784000.00,47.2,1.5,5.39
24/25,24-29,821,4379080000.00,47.5,1.5,5.33
24/25,<18,2,12180000.00,0.1,6.09,6.09
24/25,>=30,148,477421000.00,5.2,1.15,3.23
25/26,18-23,875,5296336000.00,47.1,1.5,6.05
25/26,24-29,912,5498468000.00,48.9,1.57,6.03
25/26,<18,5,30200000.00,0.3,1.2,6.04
25/26,>=30,134,417053000.00,3.7,2.0,3.11
