jugador,edad,temporada,vendedor,comprador,fee_eur
Jude Bellingham,20,23/24,Dortmund,Real Madrid,127000000.00
Josko Gvardiol,21,23/24,Leipzig,Man City,90000000.00
Rasmus Højlund,20,23/24,Atalanta,Man Utd,79800000.00
João Neves,20,24/25,Benfica,PSG,65920000.00
Dean Huijsen,20,25/26,Bournemouth,Real Madrid,62500000.00
Roméo Lavia,19,23/24,Southampton,Chelsea,62100000.00
Leny Yoro,19,24/25,Lille,Man Utd,62000000.00
Jérémy Doku,21,23/24,Stade Rennais,Man City,60000000.00
Jamie Gittens,21,25/26,Dortmund,Chelsea,56000000.00
Désiré Doué,19,24/25,Stade Rennais,PSG,50000000.00
Endrick,18,24/25,Palmeiras,Real Madrid,47500000.00
Cole Palmer,21,23/24,Man City,Chelsea,47000000.00
Alejandro Garnacho,21,25/26,Man Utd,Chelsea,46200000.00
Bradley Barcola,21,23/24,Lyon,PSG,45000000.00
Estêvão,18,25/26,Palmeiras,Chelsea,45000000.00
Franco Mastantuono,18,25/26,River Plate,Real Madrid,45000000.00
Enzo Fernández,21,22/23,River Plate,Benfica,44250000.00
Jorrel Hato,19,25/26,Ajax,Chelsea,44180000.00
Mateus Fernandes,21,25/26,Southampton,West Ham,44000000.00
Archie Gray,18,24/25,Leeds,Tottenham,41250000.00
